act_s,count,act
"143,147,427,436,153(a), 295(a), 114, 120(B), 188 r/w 149 of IPC, Sec. 2 of KPDLP, sec 4 of PDPP Act",1,476
"143,147,506,504,323,342 redwith 149 of IPC",12,478
"143,448,366(A),376(1) r/w 149 of IPC and Sec.4,6 of POCSO Act",1,479
"144, 143 427, 147, 506(2), 447, 148 r/w 149 of IPC and Sec 3(1)(r), 3(1)(g), 3(2)(va) of SC/ST Act",1,484
"149, 143, 144, 147, 341, 427, 307, 308,  of IPC and sec. 3, 4 of Prevention of DPP Act 1984",1,495
"153 A IPC 125 REPRESENTATION PEOPLE ACT",1,521
"177, 506, 203, 279, 338 of IPC and Sec. 0, 3(1)(q), 3(2)(vii)(va) of SC/ST of POA Act.",1,579
"196  198  199  200  420 IPC 3 I  IX SC/ST PA Act 1989",2,685
"196, 198, 420 of IPC 1860 and Sec. 3(1)(9) of SC and T (POA) Act, 1989.",2,687
"196, 198, 420 of IPC and 3 I  IX SC/ST P A Act 1989",1,688
"2(16) 2(20) 9(2) 39 51 Wild Life Protection Act 36 IPC",1,700
"201, 379, 420 of IPC and Sec. 44(2) of Karnataka Minor Mineral Consistent Rule 1994",1,754
"24(e) 86  87 KFA 1963, Sec.  144,154,155,156,160 of KFR  1969 and 379 of IPC",1,832
"24(e) Karnataka FOrest At, 62 KF rule 1969, and 144 145 165 and 71A and 379 of IPC.",1,833
"279 337 304  A   I.P.C and  3RW 181 MV Act",3,892
"279 337 IPC rw 181 196 IMV act",6,894
"279 338 IPC 187 146 196 MOTOR VEHICLE ACT",1,895
"279 IPC 5 8 9 11 KPCS AND CP ACT 11(1) DPC ANIMAL ACT 192 IMV ACT",2,897
"279,337,338 of IPC r.w184, 187 IMV Act",175,904
"279,337,388of IPC , 1860 IMV Act, 1988 U/s 187",1,906
"279,338,203,504,506 r/w 34 of IPC and Sec 3(1)(r),3(1)(s),3(2)(va),3(2)(vii),3(2)(vi) of SC/ST Act",1,907
"295, 323, 504 IPC and 3.I.X SC/ST PA Act 1989",2,927
"302 of IPC  and Sec.  3(2)(5) of SC/ST POA Act.",7,1030
"302 of IPC and Sec. 3(2)(v) of SC/ST (POA) Act",1,1031
"302 of IPC and Sec. 3, 7, 25, 27(1), 29(A) of Indian Arms Act 1959",1,1032
"302, 120(B) r/w 34 of IPC and Sec. 3(2)(v) of SC/ST POA Act.",1,1034
"304(1) of IPC and sec. 3(1)(s) of SC/ST POA Act",1,1036
"304(A) r/w 34 of IPC and Sec. 64 of C.E.A(Measures relating to safety and electric supply) Reg Act.",1,1037
"304, 201, r/w 34 of IPC and Sec. 43, 44 of Karnataka Electricity Reform Act. 1999.",2,1038
"306 of IPC and Sec. 12 of POCSO Act.",1,1041
"306 of IPC and Sec. 3(2)(V) of SCST Act",1,1042
"307 338 120 (B) IPC 96(B) EPLOSIVE ACT",2,1044
"323  324  504 r/w 34 IPC and 3.1.X. of SC/ST PA Act",3,1102
"323, 307, 504, 506 of IPC and Sec. 3(2)(v-a) SC/ST POA Act.",1,1104
"323, 324, 327, 354(b), 447, 448, 504, 506(2) r/w. 149 of IPC and sec. 3-1-w of SC/ST POA Act",1,1105
"323, 324, 504 r/w 34 of IPC and Sec. 3(1)(R), 3(1)(S), 3(2)(VA) of SC/ST POA ACT",1,1106
"323, 324, 504, 506 r/w 149 of IPC and Sec. 3(1)(r), 3(1)(s), 3(2)(va) of SC/ST POA Act",1,1107
"323, 324, 504, 506 r/w 34 of IPC and sec 3(1)(r),3(1)(s) ,3(2)(va) of SC/ST POA Act.",1,1108
"323, 324, 506 of IPC and sec. 3(1)(r), 3(1)(s),3(2)(VA) of SC/ST Act",4,1109
"323, 324, 506 r/w 34 IPC and Sec. 3(1)(r), 3(1)(s), 3(2)(va) of SC/ST POA Act",1,1110
"323, 324,354,451,504,506 R/w.34 IPC and 3.I.X.XI of SC/ST PA Act 1989",3,1111
"323, 326, 504, 506.2. IPC and 3.I.X. 3.2.V SC/ST PA ACt 1989",2,1112
"323, 341, 504 of IPC and Sec. 3(1)(r), 3(1)(u) of SC/ST POA Act.",4,1113
"323, 341, 504, 506 r/w 34 of IPC and sec.3(1)(r), 3(1)(s), 3(2)(va) of SCST POA Act",2,1115
"323, 344, 366(a), 376(2)(n) of IPC and Sec. 6 of POCSO Act and Sec. 3(1)(w)(i)(ii), 3(2)(va) of SCST",3,1116
"323, 354, 504 r/w 34 of IPC and Sec. 3(1)(r), 3(1)(g), 3(1)(w) of SC/ST POA Act.",2,1117
"323, 354, 504 r/w 34 of IPC and Sec. 3(1)(s), 3(1)(r), 3(2)(va) of SC/ST POA Act.",2,1118
"323, 354, 504, 506 r/w 34 of IPC and Sec. 3(1)(r), 3(1)(s), 3(2)(va) of SC/ST POA Act",1,1119
"323, 354, 504, 506 r/w. 34 of IPC and Sec. 3-1-r, 3-1-m, 3-2-va of SC/ST POA Act",1,1120
"323, 354, 504,506 r/w 34 IPC and Sec 3(1)(r), 3(1)(s), 3(2)(va) of SC/ST (POA) Act",2,1121
"323, 504 of IPC and Sec. 3(1)(r), 3(1)(s), 3(2)(va) of SC/ST POA Act",1,1122
"323, 504 of IPC and Sec. 3(1)(s),3(1)(w)(i)  SC/ST Amendment Act",2,1123
"323, 504, 427 IPC and Sec. 3-1-10 of SC/ST POA Act",2,1124
"323, 504, 506 r/w 34 IPC and Sec. 3(1)(s) of SC/ST POA Act",2,1125
"323, 504, 506 r/w 34 of IPC and sec 3(1)(r), 3(2)(va) of SC/ST POA Act.",1,1128
"323, 504, 506 r/w 34 of IPC and Sec 3(1)(s), 3(1)(g), 3(2)(va) of SC/ST POA Act",1,1126
"323, 504, 506 r/w 34 of IPC and Sec. 3(1)(m)(s), 3(2)(va) of SC/ST of POA Act.",1,1127
"323, 504, 506, 307 r/w 34 IPC and Sec. 3(1)(r), 3(1)(s), 3(1)(u) of SC/ST POA Act",2,1129
"323, 504, 506, 355 r/w. 34 of IPC and Sec. 3(1)(s), 3(1)(r) of SC/ST POA Act",2,1130
"323, 506 of IPC and Sec. 3(10) of SC/ST POA Act",1,1131
"323, 506.2. R/w 34 IPC and 3.I.X of SC/ST Act",4,1132
"323,324,354,504,506 r/w 34 of IPC and Sec. 3(1)(r),3(1)(s) of SC/ST Act",1,1133
"323,324,448,504,506 r/w 149 of IPC and Sec. 3(1)(r), 3(1)(s), 3(2)(va) of SC/ST of POA Act.",1,1134
"323,342,506 of IPC and Sec. 7,8  of POCSO Act",1,1135
"323,354(D), 504, 506 of IPC and Sec. 8, 12 of POCSO Act.",1,1136
"324, 504, 506 of IPC  and sec. 3(1)(g),3(1)(r), 3(1)(s) ,3(2)(va) of SC /ST POA Act.",1,1140
"324, 506 r/w. 34 of IPC, 3-1-g, 3-1-r, 3-1-s of SC/ST POA Amedment Act",1,1141
"324,504,506 r/w 34 of IPC and Sec.3(1)(r)(s)(2)(va) of SC/ST POA Act.",1,1142
"326, 341, 323, 324, 448, 307, 354(B) r/w. 34 of IPC and Sec. 2(v), 3(1)(x)(xi) of SC/ST POA Act",1,1143
"332, 143, 147, 504, 323, 353, 342, 506 r/w 149 IPC and Sec. 3(1)(10) of SC/ST POA Act",1,1147
"34 EXCISE ACT AND 273 IPC",4,1150
"341 324 307 504 506 s Rw 34 IPC",1,1166
"341, 323, 354(a) r/w 34 of IPC and Sec. 8, 12 of POCSO Act.",1,1169
"341, 323, 394, 504 r/w 34 of IPC and Sec. 3(1)(r), 3(2)(va) of SC/ST POA Act",1,1170
"341, 354(a)(2), 354(d)(1), 506 of IPC and Sec. 8, 12 of POCSO ACT",2,1172
"341, 354(A), 323, 504 of IPC and Sec. 11, 12 of POCSO Act",1,1171
"341, 355, 354 of IPC and Sec. 12 of POCSO Act",2,1173
"341, 427, 506, 114, 323, 504 r/w 34 of IPC and Sec.3(1)(r), 3(1)(s) of SC/ST POA Act",1,1174
"341, 448, 354(A)(2), 354(D) of IPC and Sec. 3(1)(f), 3(1)(w)(i)(ii) of SC/ST POA Act",1,1175
"341, 448, 354(A)(2), 354D(2) of IPC and Sec. 3(1)(w)(i)(ii) of SC/ST of POA Act",1,1176
"341, 504 ,506 r/w. 34 of IPC 1860 and Sec. 3(1)(x) of SC/ST POA Act",1,1177
"341, 504, 353 of IPC and Sec. 135 of Indian Electricty Act (Amend) 2003",1,1178
"341, 506, 504, 323 of IPC and Sec. 3(1)(s), 3(2)(va) of SC/ST POA Act.",1,1179
"341,354,506 of IPC and Sec 8,12 POCSO act",1,1180
"341,504,323, 394 r/w 34  of IPC and sec. 3(1)(r) , 3(2)(v) of SC/ST POA Act.",2,1181
"341,504,448,354(B), 323, 324,506 34 of IPC and Sec.3(1)(s)3(1)(w)(1)(2)  SC/ST  Act and Sec.12 POCSO",3,1182
"342 324 323 504 506 IPC 75 CHILDREN PROTECTION CARE ACT",1,1183
"343, 376(2)(f) of IPC and Sec. 6 of POCSO Act.",1,1184
"343, 376(2)(f)(n) of IPC  and Sec. 6 of POCSO Act and Sec. 9, 10 of PCM Act",1,1185
"344,366(A),376(2)(N) of IPC and Sec. 4 of POCSO Act and Sec. 9 of PCM Act.",1,1186
"344,366(A),376(2)(n),506 IPC and Sec 4,6 POCSO Act,  Sec. 4, 6 of PCM Act.",2,1187
"354 (a) of IPC and Section 8 of POCSO Act",1,1191
"354 of IPC and Sec 12, 18 of POCSO Act",1,1192
"354(A) of IPC and Sec. 12 of POCSO Act.",3,1193
"354(A) of IPC and Sec. 8 of POCSO Act and Sec. 3(1)(W), 3(2)(VA) of SC/ST POA Act",1,1194
"354(A), 354(B), 504, 506, 307 r/w. 34 of IPC 1860 and Sec. 3(1)(10) of SC/ST POA Act",1,1195
"354(A), 354(D), 509 of IPC and Sec. 12 of POCSO Act",1,1196
"354(A), 506 of IPC and Sec. 10 of POCSO Act.",1,1197
"354(A), 506 of IPC and Sec. 12, 18 of POCSO Act",1,1198
"354(a), 506 r/w 34 of IPC and Sec. 8 and 17 of POCSO Act.",2,1205
"354(A),143,147,447,323,324,504,506R/w149 of IPC and Sec.3(1)(r)3(1)(s),3(1)(g),3(1)(w)(i)SCST",1,1199
"354(A),509 of IPC and Sec.12 of POCSO Act.",1,1200
"354(B)(D), 323, 324 506 r/w. 34 of IPC and Sec. 12 of POCSO Act",1,1201
"354(B), 504, 323 r/w 34 of IPC and sec. 3(1)(r), 3(1)(s), 3(2)(va) of SC/ST POA Act",1,1202
"354(D) of IPC and Sec. 3(1)(r), 3(2)(va) of SC/ST POA Act and Sec. 12, 11 of POCSO Act.",1,1203
"354(d)(1), 366, 511 of IPC and Sec. 8 of POCSO Act",1,1206
"354(d), 506 of IPC and Sec. 12 of POCSO Act",1,1207
"354(D), 506, 504, 143, 144, 147, 148, 448, 323, 324, 354 r/w 149 of IPC and Sec. 12 of POCSO Act",1,1204
"354(d),506 of IPC and Sec.12 of POCSO Act",1,1208
"354,  323, 506   of IPC and Sec. 3(1)(r), 3(1)(s),3(2)(va)  of SC/ST  POA Act.",4,1209
"354, 504, 323 r/w 34 of IPC and Sec. 3(1)(r), 3(1)(w) of SC/ST (POA) Act",1,1210
"354, 504, 506, 323 of IPC and Sec. 3-1-w of SC/ST POA Amendment Act",1,1211
"354, 504, 506, 448, 323 r/w 34 of IPC 1860 and Sec. 3(10)(11) of SC/ST POA Act 1989",2,1212
"354,354(B), 354C,448,506(2) of IPC and Sec. 3(xI) of SC/ST and Sec. 3 of S H W W P Act 2013",1,1213
"354A(1)(i) of IPC and Sec. 8 of POCSO Act",1,1214
"354A(1)(ii) r/w 34 of IPC and Sec. 12, 17 of POCSO Act and Sec. 9, 11 of PCM Act",1,1215
"354C,506,34,370,376,420,417,384 of IPC 1860 and Sec. 3,4,5 of ITP act, sec. 67 of IT act 2000",1,1216
"363 of IPC and Sec. 8, 12, 18 of POCSO Act",1,1226
"363,  366(A) of IPC and Sec. 8 of POCSO Act",4,1227
"363, 343, 376(2)(f)(n) r/w. 34 of IPC and Sec. 6 of POCSO Act and Sec. 9, 10 of PCM Act",1,1228
"363, 343, 376(2)(i)(n) of IPC and Sec. 4 of POCSO Act",1,1229
"363, 366(A), 376 of IPC and sec. 3, 4 of POCSO Act",1,1230
"363, 366(A), 376(2)(I) of IPC and Sec. 4 and 6 of POCSO Act.",1,1231
"363, 366(A), 376(2)(n) of IPC and Sec. 4, 6 of POCSO Act.",1,1232
"363, 366(A), 376(2)(n) of IPC and Sec. 6 of POCSO Act.",2,1233
"363, 366, 343, 376(2)(i)(n) r/w 34 of  IPC. and Sec. 6, 17 of POCSO ACt and Sec. 9 of Child  Marria",1,1234
"363, 366, 376 of IPC and Sec.6, 17 of POCSO Act 2012 and Sec.9, 11 of PCM Act 2006",1,1235
"363, 366, 376(2)(i), 342, 417 of IPC and Sec. 4 of POCSO Act.",1,1236
"363, 366, 376(2)(n) of IPC and Sec. 6 of POCSO Act",9,1237
"363, 376 of IPC and Sec.6 of POCSO Act",1,1238
"363, 376(2)(f)(i)(n) of IPC and Sec. 4,6 of POCSO Act. ,",1,1239
"363, 376(2)(f), 376(2)(i)(n), 506 of IPC and Sec.  5(L), 5(n), 6 of POCSO Act",1,1240
"363, 376(2)(i), of IPC and Sec. 4, 6 of POCSO Act.",1,1241
"363, 376(2)(n)  of IPC and Sec.4 of POCSO Act  and Sec. 9 of CMR  Act.",5,1242
"363, 376(2)(n), 366 of IPC and Sec. 6 of POCSO Act",1,1243
"363, 376(n) of IPC and Sec. 6 of POCSO Act",1,1244
"363,354 of IPC and Sec 8,12 of POCSO Act .",2,1245
"363,366(A) of IPC and Sec. 12 of POCSO Act",2,1246
"363,366(A),376(2)(N),343 IPC and  Sec. 6 of POCSO act 2012 and sec. 3(1)W(i)(ii),3(2)(VA) of SC/ST",1,1247
"363,376(2)(i) of IPC and Sec 6 of POCSO act",1,1248
"366 (a), 376 (2)(n) of IPC and sec. 4, 6 of POCSO Act",1,1249
"366 CLAUSE A 109 WITH 34OF IPC",2,1250
"366 of IPC and 12 of POCSO Act.",9,1253
"366 of IPC and Sec 8,12 of POCSO act",1,1254
"366 of IPC and Sec. 12 of POCSO Act",4,1255
"366 of IPC and Sec. 12 of POCSO Act.",1,1256
"366 of IPC and Sec. 18 of POCSO Act",1,1257
"366 r/w 34 of IPC and Sec.12 of POCSO Act.",1,1258
"366(A) 376(2)(n)  of IPC and Sec. 4,6 of POCSO Act",7,1259
"366(A) of IPC and  Sec. 12 of POCSO",1,1260
"366(A) of IPC and Sec 6 of POCSO Act and Sec 9 of CMR Act",1,1261
"366(A) of IPC and Sec. 12 of POCSO Act.",1,1262
"366(A), 323, 506 of IPC 1860 and Sec. 8  of POCSO Act 2012",1,1263
"366(A), 344, 376DA, 506, 313 r/w 34 of IPC 1860 and Sec.6, 17 of POCSO Act 2012",1,1264
"366(a), 354(a)(2) of IPC and Sec. 8 of POCSO Act and Sec. 3(1)(w)(i) of SC/ST Act.",2,1281
"366(a), 354(D),114, 342, r/w.149 of IPC and Sec. 12, 18 of POCSO Act.",3,1280
"366(A), 376 ,114 r/w 34 of IPC and Sec. 4, 6, 12 of POCSO Act and Sec. 9 , 10  of P C M Act",2,1265
"366(A), 376 of IPC and Sec. 4,8,12 of POCSO Act.",5,1266
"366(A), 376(2)  of IPC and Sec.4, 5(l)   of POCSO Act and Sec. 3(2)(v) of SCST POA Act",10,1267
"366(A), 376(2) IPC and 4 and 6 POCSO Act-2012",1,1268
"366(a), 376(2)(i) of IPC and Sec. 4 of POCSO Act",1,1283
"366(A), 376(2)(i) of IPC and Sec. 4, 6 of POCSO Act",1,1269
"366(a), 376(2)(i)(n) of IPC and sec. 4, 6 of POCSO Act",1,1284
"366(A), 376(2)(i)(n) of IPC and Sec. 6 of POCSO Act",1,1270
"366(A), 376(2)(i)(n), 306, 498A of IPC and Sec. 6 of POCSO Act and Sec. 9 of CMR Act.",1,1271
"366(A), 376(2)(i), 342, 506 of IPC and Sec. 4 of POCSO Act.",1,1272
"366(a), 376(2)(n) of IPC and Sec. 6 of POCSO Act",1,1285
"366(a), 376(2)(n) of IPC and Sec. 6 of POCSO and Sec.9 of CMR Act",2,1286
"366(A), 376(2)(n)(f), 506 of IPC and sec. 4, 6 of POCSO Act.",1,1273
"366(a), 376(2)(N), 344 of IPC and Sec. 6 of POCSO Act.",1,1282
"366(A), 376(N) of IPC and Sec. 4, 6 of POCOS Act.",1,1274
"366(A), 376(n) of IPC and Sec. 4, 6 of POCSO Act and Sec. 9 of CMR Act.",1,1275
"366(a),302,376 of IPC and sec. 4, 6 of POCSO Act",1,1287
"366(a),354 r/w 34 of IPC and Sec.8 of POCSO Act.",1,1288
"366(A),370(4),370(2),370(A)(i),372,373,376,324 IPC, 4,6,8,12 POCSO Act, 23 JJ Act, 3-2-5 SC/ST Act",1,1276
"366(A),370(A),373,420r/w34 of IPC and Sec.3 of C L Act and Sec.26 of JJ Act and Sec.17 of POCSO Act",1,1277
"366(A),376(2)(I)(N) of IPC and Sec.6 of POCSO Act",2,1278
"366(a),376(2)(i)(n) of IPC and Section 4 of POCSO Act",1,1289
"366(A),376(2)(n),506 of IPC and Sec. 4,6 of POCSO Act",2,1279
"366, ,376(2)(n) of IPC and Sec. 6 of POCSO Act.",1,1290
"366, 114 r/w 34 of IPC 1860 and Sec. 12 of POCSO Act.",1,1291
"366, 343, 376(2)(f), 376(2)(n) r/w 34 of IPC and Sec. 6 of POCSO Act and Sec. 9, 10 of PCM Act.",2,1292
"366, 343, 376(2)(i) of IPC and Sec. 6 of POCSO Act and Sec. 9, 10 of PCM Act.",1,1293
"366, 343, 376(2)(n) of IPC 1860 and Sec. 6 of POCSO Act",4,1294
"366, 344, 376(2)(f), 376(2)(n) of IPC and Sec. 5(J)(II), 6 of POCSO Act and Sec. 9 of PCM Act.",1,1295
"366, 344, 376(2)(n), 376(F) of IPC and Sec. 6 of POCSO Act and Sec. 9 of PCM Act.",1,1296
"366, 344, 376, 506 of IPC and Sec. 6 of POCSO Act and Sec. 9 of PCM Act",2,1297
"366, 344, 417, 376(2)(n) of IPC & Sec. 6 of POCSO Act.",1,1298
"366, 354(D), 506 of IPC and Sec. 8 of POCSO Act and Sec. 3(1)(s), 3(1)(w)(ii), 3(2)(va)  SC/ST of PO",1,1299
"366, 370-a, 372, 373, 368, 420, 506 r/w. 34 of IPC, 3 of C.L Act, Sec. 26 J.J. and 17 of POCSO Act",1,1300
"366, 376 of IPC and Sec. 4, 6 of POCOS Act and Sec. 9 of PCM Act",1,1301
"366, 376 of IPC and sec. 4, 6 of POCSO Act",1,1306
"366, 376 of IPC and Sec. 4, 8 of POCSO Act 2012 and Sec. 9, 11 of PCM Act",1,1302
"366, 376 of IPC and Sec. 4, 8, 12 of POCSO Act and Sec. 9 of PCM Act",1,1304
"366, 376 of IPC and Sec. 4, 8, 12 of POCSO Act",1,1303
"366, 376 of IPC and Sec. 5, 6 of POCSO Act and Sec 9 of Prohibition of Child Marriage Act",1,1305
"366, 376(2)(i) of IPC  and Sec. 4 of POCSO Act and Sec. 3(1)(w)(i) of SC/ST of POA Act.",1,1308
"366, 376(2)(i)(n) o IPC 1860 and Sec. 6 of POCSO 2012 and Sec. 9 of PCM Act 2006.",1,1309
"366, 376(2)(I), 34 of IPC and Sec 4, 12 of POCSO Act and Sec 3(2)(va), 3(1)(w)(i) of SC/ST Act",176,1307
"366, 376(2)(n) of IPC and 4, 6 of POCSO Act 2012 and Sec. 9 of PCM Act 2006",1,1310
"366, 376(2)(n) of IPC and 4, 6 of POCSO Act and Sec. 9 of PCM Act and 3-2-v of SC/ST POA Act",1,1311
"366, 376(2)(n) of IPC and Sec. 4, 5(L), 6, 16, 17 of POCSO Act",1,1312
