act_s,count,act
"163A of Motor Vehicle Act1989",13,547
"166   1 of IMV ACT",609,549
"166  of MV Act",1215,550
"166 IMV Act",392,552
"166 IMV ACT",9,551
"166 of IMV ACT",1070,555
"166 of M.V.Act.",61,558
"166 of MOTOR VEHICLE ACT",154,559
"166 of MV ACT",12582,560
"177  M.V. Act",13,572
"177 192(A) 179 MV Act",1,573
"177 IMV ACT",88,574
"177 MV Act",14,577
"177 MV ACT,190 CLASS 117",3,576
"177 of IMV Act",169,578
"179 1 RW 177 M.V.ACT",4,580
"181 146 r/w 196 m.v.act",4,595
"181 183 184 179 imv act",2,596
"181 MV Act",3285,597
"181,146 IMV ACT",1,598
"182 M.V.ACT",3,599
"183 187 134 A AND B IMV ACT",1,601
"184 185  3(1) r/w 181 MV act",1,602
"184 185 MV ACT",6,604
"184 IMV ACT 128 R/W 177 I M V ACT 119 R/W 177 IMV ACT 13 (R) I R/W 177 IMV ACT 51 R/W 177 IMV ACT 17",1,606
"184 M.V.ACT",1354,609
"184 Mv ACt Rulr 196 R/w 177 MV ACt Rule 14 (a)(b) r/w 177 IMV Act",3,610
"184, 158 R/w 177, 128 i R/w 177 M.V. Act.",2,611
"185 177-3 MV Act",3,614
"185 and 3/181 M.V Act",8,642
"185 imv act",389,643
"185 IMV Act",4118,618
"185 IMV ACT",5,617
"185 M.V Act",4343,620
"185 M.V Act,14 A and B r/w 177, 158 r/w 177 M.V.Act",2,621
"185 M.V. Act ,3 R/W 181 M.V. Act ,39 R/W 192 M.V. Act",5,623
"185 M.V. Act ,3R/W  M.V. Act ,  R/W  M.V. Act",2,624
"185 M.V. Act 128 K.M.V. R/w 177 M.V.  3r/w 181 K.v. Act",5,625
"185 M.V. Act 128 K.M.V. R/w 177 M.V. Act  184 M.V. ct",4,626
"185 M.V. Act 184 M.v. Act",16,627
"185 M.V. Act 3r/w 181 M.v. Act",152,628
"185 M.V. Act",3,622
"185 m.v. act.",895,644
"185 M.V.Act  158 R/W 177 M.V. Act   128 K MV Act R/W 177 M.V. Act",4,630
"185 M.V.Act ,184 M.V. Act , 3R/W 181 M.V. Act ,39 R/W 192 M.V Act",4,631
"185 M.V.Act 3 r/w 181 M.V. Act,158 r/w 177 M.V.,184 M.V.Act",5,632
"185 M.V.ACT",17434,629
"185 M.V.Act, 184 M.V. Act , 158 R/W 177 M.V. Act",5,633
"185 M.V.Act, 3 R/W 181 M.V. Act , 128 R/W 177 M.V. Act",2,634
"185 M.V.Act, 39 R/W 192 ,3 R/W 181 , 177 M.V. Act",2,635
"185 MC Act3 r/w 181 MV Act",6,636
"185 MOTOR VEHICAL ACT",474,637
"185 MV Act and 3(1) M V Act",5,639
"185 MV Act",5679,638
"185 MV Avt and 112 184 MV Act",1,640
"185 R/W 181 MV Act",21,641
"185, 128 R/w 177 M.V.Act",23,647
"185, 158 R/w 177 MV Act",36,648
"185, 3 R/w 181, 158 R/w 177, 128 R/w 177 MV Act.",3,649
"185, 3(1) R/W 181, 146 R/W 196, 115R/W 190(2), 230 R/W 177, 13(R) III R/W 177 IMV ACT",1,650
"185,177 MV act",9,651
"185. M.V.Act , 158 R/W 177 M.V.Act ,158 R/W 177 M.V.Act",6,652
"185.M.V. Act 184 M.V. Act  179 M.V. Act",1,653
"185M.V.Act, 158 R/W 177 M.V.Act, 158 R/W 177 M.V.Act, 128KMV Act R/W M.V.A,184 MV Act",1,654
"187 m.v. act",4,656
"188 R/W 185 M.V. Act",7,657
"192 A 1 1 IMV ACT",1,666
"192 A 1 I.M.V ACT, 190 3 I MV ACT",7,667
"192 A IMV Act",29,668
"192 M.V.ACT",49,670
"192,180 M.V.ACT",2,673
"192a 196 3 R/W 181  128 R/W 177 MV Act",4,675
"194 RW 177 M.V.ACT",2,678
"196   190  2 MV ACT",2,684
"196 181 179 177 OF IMV ACT",4,686
"207 MOTOR VEHICLE ACT",292,757
"230.A R/w.177 of M.V. Act",5,816
"279 , 338 , R/W 130, 187 196 IMV ACT",123,887
"279 304 A 196 181 IMV ACT",4,888
"279 324 A R/W 181 196 IMV ACT",1,890
"279 337 304  A   I.P.C and  3RW 181 MV Act",3,892
"279 337 338 304.A and 3 R/w.181 M.V. Act",3,893
"279 337 IPC rw 181 196 IMV act",6,894
"279 338 IPC 187 146 196 MOTOR VEHICLE ACT",1,895
"279 338 R/W 187 196 IMV ACT",4,896
"279 IPC 5 8 9 11 KPCS AND CP ACT 11(1) DPC ANIMAL ACT 192 IMV ACT",2,897
"279 R/W 187 AND 176 R/W 196 IMV ACT",2,898
"279, 337, 304(A) and 3(1) r/w 181 M.V. Act. Rule 13(R)(1)R/w 177 MV Act, Rule 15(a) r/w 177 MV Act.",2,900
"279, 337, IPX and 187, 146, R/W 196 M.V Act",1,901
"279,337,338 of IPC r.w184, 187 IMV Act",175,904
"279,337,338 of M.V.Act",16,905
"279,337,338 R/W 187 IMV ACT",1,903
"279,337,388of IPC , 1860 IMV Act, 1988 U/s 187",1,906
"279,338,I,P,C and 3, 181 R/w 146, 196 M.v. Act",4,908
"2Motor Vehicles Act",9077,930
"3 C1 1 RW 181 M.V.ACT",197,940
"3 R/w 181  MV Act",18,961
"3 r/w 181 m.V.Act",12,980
"3 R/W SEC. 181 MV ACT",3,958
"3 R/w. 181 MV Act",3,964
"3(1) R/W 181 IMV ACT 13(r) III II IV R/W 177 IMV ACT 184 IMV ACT 119 R/W 177 IMV ACT 128R/W 177 IMV",1,983
"3(1) R/W 181, 185, CMV RULE 120 R/W 177IMV ACT",1,984
"3(1)r/w.181 IMV Act",10,987
"3, 11 of Prevention of Cruelty to Animals Act 1960, Sec. 184, 192 of IMV Act 1988.",1,991
"30 R/w. 177 MV Act",2,1026
"39 R/W 192 IMV ACT",1,1524
"39 R/w 192 IMV Act.",5,1526
"39 R/W 192 M.V.ACT",3,1525
"39 R/w 192 MV Act",4,1527
"39 r/w 192 MV ACT.",5,1531
"39 rule  Red with 192 IMV Act",176,1532
"39 RW 192 M.V.ACT",2,1528
"5 clause 1 rw 180 IMV",30,1730
"5 R/W 180 Mv Act",1,1728
"5.Motor Vehicles Act",1268,1740
"50 of CMV R/w sec 177, 3 R/w 181, 39-1 R/w 192-1, 146 R/w 196, 184 Sec 188, 129 R/w 177 of MV Act",5,1743
"50 RW 177 M.V.ACT",28,1742
"53 1 R/w 192 Imv Act Rule 13 (S) R/w 177 Mv Act",2,1816
"54.1 R/w.177 of M.V. Act",3,1826
"56 RW 192 M.V.ACT",1,1827
"66 C1 1 RW 192 M.V.ACT",91,1856
"66 R/w 192 (A) and 125 R/w 177 MV Act",5,1857
"66 R/w 198 (A) 179 IMV Act",1,1858
"66 Read with 192 clause mv act",20,1860
"66 RW 192 M.V.ACT",381,1859
"66.1. r/w 192 .a. MV Act.",2,1861
"679 Motor Vehicles Act",640,1864
"84 G R/W 192 IMV ACT",527,1998
"Act 66 R/w 192 (a) IMV Act",2,2507
"BOMBAY MOTOR VEHICLE (TAXATION OF PASSENGERS) ACT, 1958",37,3228
"BOMBAY MOTOR VEHICLE TAX ACT 1958",111,3229
"BOMBAY MOTOR VEHICLES TAX ACT, 1958",53,3230
"C.G. Motor Vehicle Act",9069,3848
"Central Motor Vehicle 1988",119,4327
"CENTRAL MOTOR VEHICLE ACT 1988",2,3925
"Central Motor Vehicle Act 1988",89,4328
"CENTRAL MOTOR VEHICLE ACT",1,3924
"Central Motor Vehicle Rule 1988",43,4329
"Central Motor vehicle rules 2015",1,4331
"Central Motor Vehicle Rules",701,4330
"central motor vehicles rules 1989",2,27960
"CMV RULE 105 R/W 177, RULE 13(r) (i)(ii)(iii)(iv) R/W 177, CMV RULE 155 R/W 190(2) IMV ACT",2,4055
"CMV RULE 105 R/W 177, RULE 13(r) (i)(ii)(iii)(iv) R/W 177IMV ACT",2,4056
"CMV Rule 115 R/w 190(2) IMV Act Rule 230 R/w 177 IMV Act.",2,4058
"CMV Rule 115 R/W 190(2) IMV ACT SEC 185 MV ACT SEC 3(1) R/W 181 IMV ACT",1,4057
"CMV Rule 115 R/w 190(2) MV Act, Rule 14 a b r/w 177 MV act sec.53(1) R/w 192 MV Act.",1,4059
"CMV Rule 115 rw 190(2)  IMV Act",23,4060
"CMV Rule 115R/w190(2)IMV,Sec146 R/w196 IMV Rule230 R/w177 IMV,Sec128 (a)r/w177 IMV Act",1,4061
"CMV Rule 51, R/w 177 IMV Act, Rule 13(r)(ii)(iii) r/w 177 IMV Act.",1,4062
"Crpc 279 I.P.C R/W 183 IMV",9,5135
"Delhi Motor Vehicles Taxation Act",882,5426
"FRMCWDL Sec3R/w181of MV Act,FRMCWH Sec 129R/w 177 of MV Act",2,6432
"GUJARAT (BOMBAY) MOTOR VEHICLE (TAXATION OF PASSENGERS) ACT, 1958",35,6740
"GUJARAT (BOMBAY) MOTOR VEHICLES TAX ACT, 1958",107,6741
"GUJARAT MOTOR VEHICLES (REQUISITIONING AND CONTROL) ACT, 1987",62,6801
"IMV  ACT",494,7466
"IMV Act - 1988",1,7470
"IMV ACT 1988",78,7468
"IMV act",34,7471
"IMV Act",36346,7469
"IMV ACT",93809,7467
"IMV",968,7465
"India Motor Vehcile Act.,",82,7726
"Indian Motar Vehicle Act.",892,7853
"INDIAN MOTOR VECHICLE ACT",94,7510
"INDIAN MOTOR VEHICLE ACT 1988",13062,7512
"INDIAN MOTOR VEHICLE Act",1054,7514
"INDIAN MOTOR VEHICLE ACT",12999,7511
"Indian Motor vehicle act",336,7861
"Indian Motor Vehicle Act",4328,7855
"Indian Motor vehicle Act",51,7860
"Indian Motor Vehicle act",609,7856
"INDIAN MOTOR VEHICLE ACT.",40,7513
"INDIAN MOTOR VEHICLES ACT 1982",122,7516
"Indian Motor Vehicles Act 1988",15,7858
"INDIAN MOTOR VEHICLES ACT 1988",23,7517
"INDIAN MOTOR VEHICLES ACT 1989",1415,7518
"Indian Motor Vehicles Act 24Cl(1) r/w 179 IMV Act 112 r/w 183(1) IMV Act",12,7859
"INDIAN MOTOR VEHICLES ACT",1201,7515
"Indian Motor Vehicles Act",5269,7857
"INDIAN MOTOR VEHICLES ACT, 1988 U/S 187",80,7519
"INDIAN MOTOR VEHICLES ACT-1988",107,7520
"INDIAN MOTORE VEHECALE ACT",1631,7522
"Jharkhand Moter Vehicles Taxation Act 2001",1,8352
"Jharkhand Motor Vehicle Taxation Act",1,8353
"Jharkhand Motor Vehicles Taxation (JMVT) Act, 2001",8,8354
"Karnataka Motar Vehicle Act.",348,8910
"Karnataka Motor Vehical Act",125,8911
"Karnataka Motor Vehicle Rule",12,8913
"KARNATAKA MOTOR VEHICLE RULE",26,8582
"KARNATAKA MOTOR VEHICLE RULE,1989",20,8583
"KARNATAKA MOTOR VEHICLE RULES, 1989",33,8584
"Karnataka Motor Vehicle Tax Act 1957",32,8914
"Karnataka Motor Vehicle Tax Act, 1957",13,8915
"KARNATAKA MOTOR VEHICLE TAXATION ACT 1957",18,8586
"KARNATAKA MOTOR VEHICLE TAXATION ACT",61,8585
"Karnataka Motor Vehicle",1,8912
"Karnataka Motor Vehicles (Taxation) Act",31,8916
"Karnataka Motor Vehicles Rules 1989",3,8917
"KARNATAKA MOTOR VEHICLES TAXATION ACT 1957",209,8587
"Karnataka Motor Vehicles Taxation Act",785,8918
"KARNATAKA MOTOR VEHILCES RULES",2,8588
"Keral Motor Vehicles Act",220,9071
"Kerala Motor Vechicle Act",31,9133
"Kerala Motor Vehicle Act",1,9134
"KERALA MOTOR VEHICLE TAXATION ACT",1,8710
"Kerala Motor vehicles Act",1919,9136
"Kerala Motor Vehicles Act",214,9135
"M O T O R  Vehicle Act",80,9590
"M. V. Act",875,9610
"M.V ACT",17,9653
"M.V Act",556,9654
"M.V.  Motor Vehicle  Act",6123,9655
"M.V. ACT",310,9656
"M.V. Act",9254,9658
"M.V. ACT.",304,9657
"M.V. Act.",8468,9659
"M.V.Act",558,9662
"M.V.ACT",742,9660
"M.V.Act.",3195,9663
"M.V.Acts",902,9664
"M.V.ACTS.",2865,9661
"Maharashtra Motor vehicles Rules",7,10067
"Moter vehicle act",595,10548
"Moter Vehicles Act",12058,10547
"MOTOR VEHICAL ACT",167,9840
"motor vehical act",500,28151
"Motor Vehicle Act  \",321319,10565
"Motor Vehicle Act (MACT)",1296,10566
"MOTOR VEHICLE ACT 1988",105,9842
"Motor Vehicle Act 1988",39,10567
"Motor vehicle act 1988-1994",1975,10595
"MOTOR VEHICLE ACT 1989",10441,9843
"Motor Vehicle Act 1989",2610,10568
"Motor Vehicle Act \",46653,10569
"Motor Vehicle Act",1049607,10564
"MOTOR VEHICLE ACT",2231,9841
"Motor vehicle act",448,10594
"motor vehicle act",476,28152
"Motor vehicle Act",822,10592
"MOTOR VEHICLE ACT, 1988",156785,9844
"MOTOR VEHICLE ACT, UNDER SECTION",1907,9845
"Motor Vehicle Act. 1988",1592,10571
"Motor vehicle Act.",148,10593
"Motor Vehicle Act.",2,10570
"Motor Vehicle amendment act1994",1,10577
"Motor Vehicle Claim",7,10572
"Motor Vehicle Rule",2,10573
"Motor Vehicle Rules Central",2,10574
"Motor Vehicle Taxation Act",4,10575
"Motor Vehicle Taxiation Act",12,10576
"Motor Vehicles (Bombay Amendment) Act",7,10578
"Motor Vehicles (Tripura Amendment) Act, 1973",13,10579
"Motor Vehicles Accidental Claim Act",491,10580
"Motor Vehicles Act 1955",1504,10583
"Motor Vehicles Act 1988",461580,10584
"Motor Vehicles Act 1989",343,10585
"MOTOR VEHICLES ACT",1079427,9846
"Motor vehicles Act",147,10596
"Motor Vehicles Act",3124278,10581
"Motor Vehicles act",416,10590
"Motor Vehicles Act, 1988",64313,10586
"MOTOR VEHICLES ACT, 1988",666677,9847
"Motor Vehicles Rules, 1989 (Kerala)",19468,10587
"Motor Vehicles Taxation Act (Bihar &  Orissa)",1236,10588
"Motor Vehicles Taxation Act Bihar and  Orissa",162,10589
"Motors Vehicles Taxation Act",33,10600
"MotorVehiclesAct",394394,10598
"MV - Motor Vehicles Act",8859,9888
"MV Act 166",1806,9891
"MV Act Sc.185",87,9892
"MV Act",100284,9890
"mv act",382,28158
"MV ACT",46133,9889
"MV Act, 1988",17845,9893
"MV Amendment Act, 1988",1,9894
"MVAct",69,9896
"MVACT.",4,9895
"MVC and IMV Act",2,9902
"Orissa M.V. Act",3,12156
"Orissa Motor Vehicle Transport Act",22,12160
"Orissa Motor Vehicle Transport",23,12159
"Raj. Motor Vehical Act 1974",3,14477
"Rajasthan Motor Vehical Act",696,14584
"Rajasthan Motor Vehicle Tax Act",3,14585
"RAJASTHAN MOTOR VEHICLES RULES 1990",5976,14197
"Rul 230@A R/W 177 IMV ACT.",18,15042
"RULE 100 IMV R/W 177 IMV ACT, SEC 134 IMV R/W 177 ACT, SEC 130 CALUSE 1 R/W 177 IMV ACT",35,14399
"RULE 100 OF KMV ACT R/W 177 IMV ACT",1,14400
"Rule 100 R/W 177 IMV Act",3,15046
"Rule 115  R w 190 IMV Act",12,15047
"Rule 115 R/w 190(2) IMV Act Rule 13(r) (II) 177 IMV Act",1,15048
"Rule 12(1)R/w177 IMV Act Rule 14(a)(b)R/w177IMV Act",1,15049
"Rule 128 r/w 177,rule 230 r/w 177,13(1)r/w 177,13(2)r/w 177, 119 r/w 177,CMV 155r/w 190(2) IMV ACT",1,15050
"Rule 13 (r)(i) r/w 177 IMV Act",1,15051
"Rule 13 R  III R/W 177 IMV ACT.",17,15052
"Rule 13 r  R/w 177 IMV Act.",24,15055
"Rule 13 R i ii iii iv R/w 177 and 185 MV Act.",1,15053
"Rule 13 S R/W 177 IMV ACT.",17,15054
"Rule 13(r) (ii) (iii) r/w 177 IMV Act",2,15057
"rule 13(r)(iii),Sec39 r/w192,Sec3(1)r/w181,sec5(i)r/w180,rule 230 r/w177 sec105r/w179 IMV Act.",1,28381
"Rule 13(s)r/w 177 of IMV Act",1,15058
"Rule 138 R/W 177 IMV ACT.",19,15059
"Rule 14 R/w 177 IMV Act",3,15060
"Rule 14(a)(b) R/w 177 IMV Act",1485,15061
"Rule 14(a)(b) r/w 177 IMV Act, CMV Rule 125 r/w 177 IMV Act, u/s 177 of IMV Act",1,15062
"Rule 14(a)(b)r/w 177  IMV Act",5,15063
"RULE 14(A)(B)R/W177 RULE 13(R)(2)R/W177 RULE 13(R)(2)R/W 177 CMV 115 R/W 190(2) RULE 13(R)(4)IMV ACT",1,14401
"Rule 182 R/W 192 IMV ACT.",8,15064
"Rule 185 IMV Act and 3(1) r/w 181 IMV Act",13,15066
"Rule 218 r/w 177 IMV Act",15,15068
"Rule 218 R/W 177 IMV ACT.",26,15067
"Rule 230 r/w 177 and IMV SEE 184 CMV rule 115 r/w 190(2) IMV ACT",1,15071
"RULE 230 R/W 177 IMV ACT AND CMV RULE 115 R/W 190(2) IMV ACT",3,14402
"Rule 230 r/w 177 IMV Act",4,15070
"Rule 230 R/w 177 IMV SEC 185 and 3(1) R/w 181 IMV ACT",2,15069
"Rule 230 r/w 177 of M.V.Act, u/s 184,185 of M.V.Act",1,15072
"RULE 230(A) 128 119 R/W 177 IMV ACT",1,14403
"Rule 232 of Karnataka Motor Vechicle Rules",65,15073
"Rule 25@1 R/W 177 IMV Act",2,15074
"Rule 51 r/w 177 IMV Act",1,15078
"Rulle 115 r/w190(2)     IMV Act Rule 230r/w177 IMV Act Rule 138 r/w177 IMV Act",2,15096
"SEC  279 304 A IPC RW 185 IMV ACT",1,15197
"sec  3(1) r/w 181 IMV Act Sec 5(1) r/w 180 IMV Act",2,28384
"Sec 117 R/W 177 IMV ACT.",40,15566
"Sec 119 r/w 177 IMV Act",5,15568
"Sec 119 R/w 177 IMV,Rule 230 R/w 177 IMV ,Rule 13(R)(1)(2)(3)R/w 177 IMV,SEC 128 (A) R/w 177IMV AC",1,15567
"SEC 119 R/W 177 RULE 138 R/W 177 RULE 13(R)(3)R/W 177 CMV RULE 115 190(2) IMV",1,15201
"Sec 128 r/w 177 IMV Act",2,15574
"Sec 128@a R/W 177 IMV ACT",9,15575
"SEC 130 CL 1 R/W 117 IMV ACT SEC 66 CL 1 R/W 192 ACT SEC RULE 94 IMV  R/W SEC 177 MV ACT",1,15209
"Sec 133 r/w 187 IMV Act",7,15604
"Sec 14 (a) (b) R/w 177 IMV Act",4,15610
"Sec 140 M.V Act",2,15611
"Sec 166 M.V Act",1718,15618
"Sec 166 of IMV Act of 1988",948,15620
"Sec 166 of Motor Vehicle Act",3097,15622
"Sec 166 of MV Act 1988 read with Sec 232 of KMV Rules 1989",27,15621
"Sec 166 read with Sec 140 of MV Act 1988",1698,15623
"Sec 169 of MV Act 1988 read with Sec 253 and 254 of KMV Rules 1989",1,15624
"sec 177 IMV act",32,28390
"Sec 177 R/w 177 IMV Act",3,15625
"sec 181 mv act",3,28391
"SEC 184 179 185 OF IMV ACT",1,15217
"SEC 184 AND 185 IMV ACT",27,15218
"SEC 184 AND 185 OF IMV ACT",39,15219
"SEC 184 IMV 128(A)R/W177 RULE 230 R/W 177 SEC 129 RULE 13(R)(3)R/W 177 CMV RULE 115 R/W 190(2) IMV",1,15220
"Sec 184 IMV ACT.",37,15628
"SEC 184 IMV RULE 230 R/W 177 CMV 115 R/W 190(2) SEC 129 IMV ACT",2,15221
"SEC 184 OF IMV ACT",1642,15222
"SEC 184 RULE 230 R/W 177 SEC 146 R/W 196 CMV RULE 115 R/W 190(2)SEC 129 IMV",1,15223
"SEC 185 IMV ACT",178,15224
"Sec 185 IMV Act",42,15629
"Sec 187 of IMV",48,15630
"SEC 201 CL A IMV ACT",1,15226
"Sec 279 337 338 IPC Rw 184 187 3 181 IMV Act",2,15664
"Sec 279 337 338 RW 187 IMV Act",5,15665
"SEC 279, 338 OF IPC R.W 187 OF IMV ACT",2,15240
"SEC 279,304 CL A IPC AND SEC 3 AND 196 FO IMV ACT",3,15241
"SEC 3 R/W 181 IMV ACT AND 201 CLAUSE 1 IMV R/W 177 IMVC ACT",2,15250
"Sec 3 R/w 181, Sec 184 / Sec 188 of MV Act.",2,15677
"SEC 3 R/W 182 AND 177, 14 R/W 177, SEC 105 177 , 184 IMV  ACT",2,15251
"SEC 3(1) R/W 181 SEC 185 IMV ACT",6,15252
"Sec 3(R)(1)(2)(3)(4) R/w 177 IMV Act,Rule 230 R/w 177 IMV Act",1,15679
"Sec 3@1 R/W 181 IMV ACT",284,15703
"SEC 66 CL 1 R/W 192 CL J IMV ACT",2,15270
"Sec 66 R/W 192(A) IMV ACT",1,15729
"SEC 66 R/W 192(A) OF M.V. ACT",12,15271
"Sec 66 r/w 192A IMV Act",19,15730
"Sec 66 r/w sec 192 a of M.V Act 1988",1,15731
"Sec IMV Act",352,15766
"Sec of IMV act",448,15774
"Sec(1)r/w181 IMV Act Rule 115 r/w190(2)IMV Act,Sec5(I)r/w180 IMV Act,",1,15780
"Sec.  185 of IMV Act.  Rule 13(r) R/w 177 of IMV Act.",1,15783
"Sec. 166 A of the MV Act 1989",532,15808
"Sec. 166 of M.V. Act",510,15809
"Sec. 166 of the M.V.  Act 1989",2358,15810
"SEC. 170 OF MV ACT",1,15288
"Sec. 185 and 184 IMV Act.,",1,15820
"Sec. 185 IMV Act",11,15811
"Sec. 185 IMV Act. 3(1) r/w 181 IMV Act. Rule 13(r)(ii)(iii)R/w 177 IMV Act rule 115 r/w 190(2)IMV Ac",1,15812
"Sec. 185 IMV Act. Sec 3(1) r/w 181 IMV Act Rule 13 (r) (ii)(iii) r/w 177 IMC Act.",7,15813
"Sec. 185 IMV Act. Sec. 3(1) r/w 181 IMV Act. and Sec. 146 r/w 196 IMV Act.",1,15818
"Sec. 185 IMV Act. Sec. 3(1) r/w 181 IMV Act. Rule 13(r)(ii) r/w 177 IMC Act.",13,15816
"Sec. 185 IMV Act. Sec. 3(1) r/w 181 IMV Act. Sec. 128(a) r/w 177 IMV Act. Sec 39 r/w 192 IMV Act.",1,15817
"Sec. 185 IMV Act. Sec. 3(1) R/w 181 IMV Act. Sec. 184 IMV Act.",1,15814
"Sec. 185 IMV Act. Sec. 3(1) r/w 181 IMV Act.",23,15815
"Sec. 185 IMV Act.,",37,15819
"Sec. 185, 146 r/w 196 and 3(1) r/w 181 IMV Act., Rule 13(r)(iii) R/w 1777 IMC Act. CMV Rule 51 r/w 1",1,15821
"SEC. 3 R/W 181 IMV ACT SEC 134 IMV R/W 177 IMV ACT SEC 66 CLAUSE 1 R/W 192 IMV ACT",1,15299
"SEC. 3 R/W 181 IMV ACT",8,15298
"Sec. 3(1) R/w 181 of IMV Act, Rule 230 R/w 177 IMV Act., Sec. 185 IMV Act.",1,15842
"Sec. 4,5,8,9,11 KPCS and Cattle P. Act. 1964 3,11,PCA Act. 192 IMV Act., 1988",1,15858
"Sec. R.w 181 IMV actg",21,15890
"Sec.117 r/w 181 IMV Act",1,15900
"SEC.166 OF IMV ACT 1988",15,15308
"Sec.166 of MV Act",113,15931
"Sec.185 3R/w,181 MV Act",49,15935
"Sec.185 IMV Act",317,15936
"sec.185,IMVACT,Drunk,anddrive",5,28409
"Sec.3  1 IMV Act",6,15951
"Sec.39, 56,53,66, R/w 181,192 MV Act",13,15962
"Sec14(a)(b)r/w177 Imv Act Sec53(1)r/w192 IMV Act",1,16004
"Sec14(a)(b)R/w177IMV Act,CMV rule 115 r/w190(2)IMV Act",1,16003
"Sec146 r/w196 IMV Act Rule 115 r/w 190(2) IMV Act Rule 230r/w177 IMV Act",1,16005
"Sec166 of Motor Vehicle Act",1251,16010
"Sec3(1)r/w181 IMV Act Sec5(I) R/w180 IMV Sec 146 R/w196 IMV Act CMV Rule 115 R/w 190(2)IMV Rule 230",2,16015
"Sec3(1)r/w181 IMV,Sec5(I)r/w180 IMV Rule 230 r/w177 IMV,CMV rule 115 r/w190(2)IMV Act.",1,16016
"Sec3(1)r/w181 IMv,Sec5(i)r/w180 IMV,Sec146r/w196 IMV,Rule 138 R/w177 IMV,Sec128(a)r/w177IMV,Rule230",1,16017
"Sect 183 IMV ACT.",10,16034
"SECTION 114 CPC R/W 169 OF 1 MV ACT",15,15340
"SECTION 140 OF MV ACT",511,15354
"Section 163   A,   of Motor Vehicle Act 1989",51,16067
"SECTION 166 MV ACT",52,15358
"Section 166 of Motor Vehicle Act 1989",9286,16070
"Section 166 of the Indian Motor Vehicle Act, 1988",269,16071
"section 181, 117 IMV Act",22,28412
"Section 66 1  r.w sec 192 A of MV Act Sec.177 of IMV Act",26,16117
"Section 66 1 r.w sec 192 A of MV Act Sec.177 of IMV Act",21,16118
"SEE 3(1) r/w 181 IMV ACT SEE 185 IMV ACT",2,15394
"Sikkim Motor Vehicle Rule, 1991",7,16249
"Sikkim Motor Vehicle Rules",19,16250
"Sikkim Motor Vehicles Rules",1,16251
"TAMIL NADU MOTOR VEHICLE RULES 1989",561,16575
"Tamilnadu Motor Vehicle Rule",3,17036
"The Central Motor Vehicles Act 1988",1376,17167
"The Central Motor Vehicles Rules,1989",5,17168
"THE KARNATAKA MOTOR VEHICLES TAXATION ACT, 1957",208,16702
"The Motor Vehicles Act, 1988",1,17462
"The Sikkim Motor Vehicle Rule, 1991",25,17669
"The Telangana Motor Vehicles Taxation Act",39,17702
"The U.P. Motor Vehicle Rules",1,17721
"TN MOTOR VEHICLES TAXATION ACT, 1974",569,16860
"Tripura Motor Vehicles Tax Act, 1972",1,17889
"U Order 21 r.11 of CPC and U sec 359 A of M.V.Act",61,17937
