act_s,count,act
"Sec. 138 of N.I. Act",233,15800
"sec. 138 of NI Act",508,28405
"Sec.138 and 142 of Negotiable Instrument Act",1464,15919
"Sec.138 of NI ACT",10,15920
"Sec.138 of NI Act.",521,15921
"SECTION 138 OF NEGOTIABLE INSTRUMENT ACT",3479,15353
"Section 138 of Negotiable Instruments Act, 1881",14753,16061
"Section 142 of Negotiable Instrument Act.",5,16063
"SECTION 200 CRPC WITH 138 OF NI ACT.",106,15365
"The Negotiable Instrument ( N.I ) Act",53,17476
"The Negotiable Instrument Act 1881",235,17478
"The Negotiable Instrument Act",29,17477
"The Negotiable Instruments Act, 1881   -",11,17479
"U SEC 138 OF NI ACT",268,17985
"U.Sec.138 of N.I.Act",8,18278
"U/s  138 141 142 of N I Act",567,22785
"U/s 138  of N.I. Act",162,22961
"U/S 138 141 142 NI ACT",3,19882
"U/s 138 and 142 NI Act",361,22968
"U/s 138 and 142 NI ACT",570,22967
"U/s 138 and 142 of N.I.Act",1,22969
"U/S 138 AND 142 OF N.I.ACT",1051,19883
"u/s 138 and 142 of N.I.Act",43,28716
"U/s 138 and 142 of NI Act",27,22970
"U/s 138 and 142 of NIAct",571,22971
"U/s 138 and 142 of the Negotiable Instruments Act 1881 as amended by Act 55 of 2002 and U/s 200 of C",68,22972
"U/S 138 N I ACT",2873,19884
"u/s 138 N.I. Act",1017,28714
"U/S 138 N.I. ACT",130,19885
"u/s 138 Negotialble Instruments Act",1867,28715
"U/s 138 NI Act",105,22962
"U/S 138 NI ACT",55,19886
"U/S 138 OF N I ACT",24,19887
"U/S 138 Of N I Act",250,19890
"U/s 138 of N I Act",370,22973
"U/S 138 of N I Act",47,19893
"U/s 138 of N.I Act",471,22974
"U/S 138 of N.I Act",56916,19894
"U/S 138 of N.I. ACT",141,19895
"U/S 138 of N.I. Act",7171,19896
"U/s 138 of N.I.Act.",311,22975
"U/s 138 of Negotiable Instrument Act",357,22978
"U/S 138 OF NEGOTIABLE INSTRUMENTS ACT",11,19888
"U/s 138 of NI Act",5417,22976
"U/S 138 OF NI ACT",794,19889
"U/s 138 of NI Act.",259,22977
"U/s 138 R/w 142 N I Act",109,22964
"U/s 138 R/w 142 of N I Act",20,22965
"U/S 138 R/W 142 of NI Act",1,19891
"U/S 138 r/w 142 of NI Act",38,19897
"U/s 138 R/w Sec. 142 of NI Act",70,22966
"U/S 138,142 NI ACT",159,19898
"U/s 138/B and 142 of N I Act.",12,22979
"U/s 142 B NI Act.",12,22989
"U/S 190 AND 200 CR P C WITH CHAPTER XVII SEC 138 AND 142 OF NI ACT",5,20081
"U/s 200 CPC r/w sec. 138 of NI Act",869,23121
"U/S 200 OF CR.P.C FOR THE OFFENCE PUNISHABLE U/S 138 OF NI ACT.",316,20106
"U/S 200 R/W 138 N.I. ACT",216,20107
"U/S 200 R/W 138 NI ACT",573,20108
"U/S 5/200 R/W 138 NI ACT",4434,20724
"U/s N I Act",36,23606
"U/s. 138 and 142 of the NI Act",16,23663
"U/S. 138 OF NEGOTIABLE INSTRUMENT ACT",1993,21146
"U/s. 138 of NI Act",16,23664
"U/S.138 AND 142 N.I.ACT.",50,21211
"u/s.138 N.I.Act",27,28977
"u/s.138 of N.I.Act",1768,28978
"U/S.138 OF N.I.ACT.",65,21212
"U/S138 of N.I.Act",36,21264
"U/Sec 138 and 142 of N I Act",5,21405
"U/sec 138 and 142 of N.I.Act.",44,24064
"U/sec 138 and 142 of NI Act",209,24065
"U/Sec 138 of N.I. Act",276,21406
"U/Sec 138 of NI Act",197,21407
"U/sec. 138 and 142 N.I. Act",104,24191
"U/Sec. 138 and 142 of N. I. Act.",456,21645
"u/Sec. 138 and 142 of N.I. Act",1,28502
"U/sec. 138 N.I. Act",528,24190
"U/Sec. 138 NI ACT",43,21644
"U/SEC. 138 OF N. I ACT.",98,21315
"U/Sec. 138 of N.I. Act",2656,21646
"U/Sec. 138 of N.I. Act.",54,21647
"U/Sec.138 of N I  Act",873,21895
"Under Negotiable Instrument act",1609,25174
"Under Negotiable Instruments Act",1,25175
"Under NI Act",62,25173
"UNDER SEC 138 NI ACT",234,24627
"Under Sec 138 NI Act",49,25790
"Under sec 138 of N.I. Act",460,26981
"Under Sec 138 of NI Act",194,25791
"UNDER SEC. 138 AND 142 NI ACT",328,24650
"Under sec. 138 N.I Act",619,27029
"Under Sec. 138 of N.I. Act",496,25943
"Under Sec. 138 of NI Act",12,25944
"Under Sec. 200 R/w. 138 N.I. ACT",46,25966
"Under Sec. 200 R/w. 138 NI Act",3,25967
"Under Section 138  of N.I Act",59,26274
"Under section 138 and 142 N I Act",4,27084
"UNDER SECTION 138 AND 142 OF N.I. ACT",822,24737
"Under Section 138 and 142 of NI Act",220,26277
"Under Section 138 N I Act",27,26275
"UNDER SECTION 138 N.I ACT.",51,24738
"Under Section 138 N.I. Act",1350,26276
"Under section 138 NIAct",793,27083
"UNDER SECTION 138 OF N I ACT",4320,24739
"Under Section 138 of N.I. Act",7088,26278
"Under section 138 of Negotiable Act 1881",36,27085
"UNDER SECTION 138 OF NI ACT",1535,24740
"Under Section 138 of NI Act",16,26279
"Under section 142 of N I Act",1,27087
"Under Section 142 of N I Act",4,26286
"Under Section Negotiable Act",860,26676
"Under Sections 200 and 138 of NI Act",18,26696
"Us 138 and 142 of N I Act",21,27259
